CUENTA: 24115476024
VALOR_TRANSACCION;CODIGO_TRANSACCION;DESCRIPCION_TRANSACCION;NATURALEZA_TRANSACCION;FECHA_TRANSACCION;CODIGO_OFICINA;NOMBRE_OFICINA;DOCUMENTO_TRANSACCION;REFERENCIA_TRANSACCION;INFORMACION_ADICIONAL
-000000001596,00;0001;GRAVAMEN MOVS FINANCIEROS     ;D;2022-11-05;321102;(BCS) INTERNET   ;42336761;42336761        ;                                                                      
-000000399000,00;0227;COMPRA INTERNET               ;D;2022-11-05;321102;(BCS) INTERNET   ;42336761;42336761        ;                                                                      
-000001715626,00;0227;COMPRA INTERNET               ;D;2022-11-04;321102;(BCS) INTERNET   ;40649773;40649773        ;                                                                      
-000000006863,00;0001;GRAVAMEN MOVS FINANCIEROS     ;D;2022-11-04;321102;(BCS) INTERNET   ;40649773;40649773        ;                                                                      
-000000020485,00;0001;GRAVAMEN MOVS FINANCIEROS     ;D;2022-11-04;321102;(BCS) INTERNET   ;40662457;40662457        ;                                                                      
-000005121255,00;0227;COMPRA INTERNET               ;D;2022-11-04;321102;(BCS) INTERNET   ;40662457;40662457        ;                                                                      
-000000003050,00;0001;GRAVAMEN MOVS FINANCIEROS     ;D;2022-11-04;321102;(BCS) INTERNET   ;40615256;40615256        ;                                                                      
-000000762500,00;0227;COMPRA INTERNET               ;D;2022-11-04;321102;(BCS) INTERNET   ;40615256;40615256        ;                                                                      
-000000000800,00;0001;GRAVAMEN MOVS FINANCIEROS     ;D;2022-11-04;320532;(BCS) ACH        ;04277692;04277692        ;                               DEBITO POR LOTE:0004277692 PA0000670015
-000000200000,00;0209;DEBITO AUTORIZADO POR ACH     ;D;2022-11-04;320532;(BCS) ACH        ;04277692;04277692        ;                               DEBITO POR LOTE:0004277692 PA0000670015
-000002413440,00;0209;DEBITO AUTORIZADO POR ACH     ;D;2022-11-04;320532;(BCS) ACH        ;04278212;04278212        ;                               DEBITO POR LOTE:0004278212 PA0000670015
-000000009654,00;0001;GRAVAMEN MOVS FINANCIEROS     ;D;2022-11-04;320532;(BCS) ACH        ;04278212;04278212        ;                               DEBITO POR LOTE:0004278212 PA0000670015
-000000022995,00;0001;GRAVAMEN MOVS FINANCIEROS     ;D;2022-11-04;321102;(BCS) INTERNET   ;40633997;40633997        ;                                                                      
-000005748750,00;0227;COMPRA INTERNET               ;D;2022-11-04;321102;(BCS) INTERNET   ;40633997;40633997        ;                                                                      
-000003066579,00;0227;COMPRA INTERNET               ;D;2022-11-04;321102;(BCS) INTERNET   ;40642501;40642501        ;                                                                      
-000000012266,00;0001;GRAVAMEN MOVS FINANCIEROS     ;D;2022-11-04;321102;(BCS) INTERNET   ;40642501;40642501        ;                                                                      
-000000000714,00;0001;GRAVAMEN MOVS FINANCIEROS     ;D;2022-11-03;320532;(BCS) ACH        ;04181725;04181725        ;                               DEBITO POR LOTE:0004181725 PA0000669929
-000000178500,00;0209;DEBITO AUTORIZADO POR ACH     ;D;2022-11-03;320532;(BCS) ACH        ;04181725;04181725        ;                               DEBITO POR LOTE:0004181725 PA0000669929
-000000002070,00;0001;GRAVAMEN MOVS FINANCIEROS     ;D;2022-11-03;320532;(BCS) ACH        ;04181635;04181635        ;                               DEBITO POR LOTE:0004181635 PA0000669929
-000000517440,00;0209;DEBITO AUTORIZADO POR ACH     ;D;2022-11-03;320532;(BCS) ACH        ;04181635;04181635        ;                               DEBITO POR LOTE:0004181635 PA0000669929
-000000085127,00;0209;DEBITO AUTORIZADO POR ACH     ;D;2022-11-03;320532;(BCS) ACH        ;04181850;04181850        ;                               DEBITO POR LOTE:0004181850 PA0000669929
-000000000360,00;0001;GRAVAMEN MOVS FINANCIEROS     ;D;2022-11-03;320532;(BCS) ACH        ;04181622;04181622        ;                               DEBITO POR LOTE:0004181622 PA0000669929
-000000090000,00;0209;DEBITO AUTORIZADO POR ACH     ;D;2022-11-03;320532;(BCS) ACH        ;04181622;04181622        ;                               DEBITO POR LOTE:0004181622 PA0000669929
-000000053256,00;0001;GRAVAMEN MOVS FINANCIEROS     ;D;2022-11-03;320532;(BCS) ACH        ;04181907;04181907        ;                               DEBITO POR LOTE:0004181907 PA0000669929
