"Fecha","Transacción","Oficina","Documento","Débito","Crédito"
"11/05","Deposito electronico ventas con tarjetas 16923013","CREDIBANCO","","","$328,597.00"
"11/04","Abono por recaudos con comprobante 1005780988","SUGAMUXI - SOGAMOSO","1005780988","","$100,000.00"
"11/04","Cargo transferencia por Internet o Banca Movil o Swift","","","$505,660.00",""
"11/04","Abono por Deposito en Corresponsal de cliente Banco de Bogota realizado el 04/11/2022","BANCA ELECTRONICA","0000970649","","$3,000.00"
"11/04","Abono por recaudo de Servicios por CNB-Corresponsal Factura 800","BANCA ELECTRONICA","0000999999","","$340,000.00"
"11/04","Abono por recaudo de Servicios por CNB-Corresponsal Factura 2500","BANCA ELECTRONICA","0000999999","","$350,000.00"
"11/04","Abono por Deposito en Corresponsal de cliente Banco de Bogota realizado el 04/11/2022","BANCA ELECTRONICA","0000061622","","$500,000.00"
"11/04","Abono por recaudo de Servicios por CNB-Corresponsal Factura 2400","BANCA ELECTRONICA","0000999999","","$2,000,000.00"
"11/04","Abono por Deposito en Corresponsal de cliente Banco de Bogota realizado el 04/11/2022","BANCA ELECTRONICA","0000847625","","$55,900.00"
"11/04","Abono por Deposito en Corresponsal de cliente Banco de Bogota realizado el 04/11/2022","BANCA ELECTRONICA","0000342624","","$2,380.00"
"11/04","Abono por recaudo de Servicios por CNB-Corresponsal Factura 2200","BANCA ELECTRONICA","0000999999","","$8,790,000.00"
"11/04","Comision por consignacion nacional en corresponsal bancario","","0000005010","$14,735.00",""
"11/04","Comision por consignacion nacional en corresponsal bancario","","0000003593","$14,735.00",""
"11/04","Comision por consignacion nacional en corresponsal bancario","","0000006474","$14,735.00",""
"11/04","Cr Ach Citibank Crediminuto Sas Nit9013087561","BANCA ELECTRONICA","","","$4,386,000.00"
"11/04","Comision disfon proveedores interno","","","$1,000.00",""
"11/04","Comision al Recaudador por Recaudos en Corresponsal Bancario","","0000009044","$22,950.00",""
"11/04","Abono transferencia por canal electronico el 04/11/2022 desde 01076332153 URRUTIA MOSQUERA,ADRIANA","ITSMINA","","","$300,000.00"
"11/04","Comision por consignacion nacional en corresponsal bancario","","0000004132","$14,735.00",""
"11/04","Abono por Deposito en Corresponsal de cliente Banco de Bogota realizado el 04/11/2022","BANCA ELECTRONICA","0000213672","","$217,371.00"
"11/04","Abono por recaudo realizado en oficina cod de barras o QR","OFICINA CAUCASIA","9011914357","","$5,250,000.00"
"11/04","Abono por recaudo realizado en oficina cod de barras o QR","OFICINA CAUCASIA","0000001900","","$4,000,000.00"
"11/04","Abono por recaudo realizado en oficina cod de barras o QR","ARMENIA","0000002800","","$700,000.00"
"11/04","Abono transferencia por canal electronico el 04/11/2022 desde 00071699753 ZAPATA BERMUDEZ,GERMAN ALBERTO","CENTRO COMERCIAL SAN DIEGO","","","$100,000.00"
"11/04","Comision disfon nomina interna","","","$5,000.00",""
"11/04","Cargo Dispersion Pago de Nomina","","","$3,712,302.00",""
"11/04","Comision disfon proveedores interno","","","$1,000.00",""
"11/04","Deposito electronico ventas con tarjetas 16923013","CREDIBANCO","0116923013","","$19,360.00"
"11/04","Deposito electronico ventas con tarjetas 21081914","CREDIBANCO","0121081914","","$21,315.00"
"11/04","Abono por recaudo de Servicios por CNB-Corresponsal Factura 600","BANCA ELECTRONICA","0000999999","","$850,000.00"
"11/04","Abono por Deposito en Corresponsal de cliente Banco de Bogota realizado el 04/11/2022","BANCA ELECTRONICA","0000924670","","$60,000.00"
"11/04","Abono por recaudo realizado en oficina cod de barras o QR","POPAYAN","0000003700","","$1,225,903.00"
"11/04","Comision recaudos con codigo de barras o QR","","","$4,480.00",""
"11/04","Abono por recaudo de Servicios por CNB-Corresponsal Factura 200","BANCA ELECTRONICA","0000999999","","$8,400,000.00"
"11/04","Cargo transferencia por Internet o Banca Movil o Swift","","","$17,485,941.00",""
"11/04","Cargo transferencia por Internet o Banca Movil o Swift","","","$8,820,600.00",""
"11/04","Abono por recaudo de Servicios por CNB-Corresponsal Factura 3800","BANCA ELECTRONICA","0000999999","","$700,000.00"
"11/04","Abono por Deposito en Corresponsal de cliente Banco de Bogota realizado el 04/11/2022","BANCA ELECTRONICA","0000279552","","$100,000.00"
"11/04","Comision por consignacion nacional en corresponsal bancario","","0000003036","$14,735.00",""
